Title,Description,Type,Language,License,Data Status,Hosted/Linked,Update Frequency,Landing Page,Date Published,Date Updated,Contact Point,Data Granularity,Temporal Coverage From,Temporal Coverage To,Spatial Coverage,Jurisdiction,Data Portal,Publisher/Agency,Keywords,Groups
Students with a disability by school year,"Full-time equivalent enrolments of students with a disability by school year from 2012 collected as part of the annual enrolment data collection in Term 3.

Students with Disability are those students who are verified by a Department for Education psychologist or speech pathologist as eligible for the Department for Education Disability Support Program.",dataset,English,Creative Commons Attribution,active,Linked,annually,/data/dataset/25bd119c-e133-4f67-ba56-2f30e303d1a6,2018-05-11T04:41:00.460289,2020-06-30T01:54:29.156495,Education.DataReportingAnalytics@sa.gov.au ,Aggregated by school year,2012-08-01,2018-08-01,South Australia,Government of South Australia,data.sa.gov.au,Department for Education,"disability, education, government, group, schools, students",education-skills-and-learning
Students with a disability by school year and region,"Full-time equivalent enrolments of students with a disability from 2013 by school year and region collected as part of the annual enrolment data collection in Term 3.

Students with Disability are those students who are verified by a Department for Education psychologist or speech pathologist as eligible for the Department for Education Disability Support Program.",dataset,English,Creative Commons Attribution,active,Linked,annually,/data/dataset/480e3540-8836-4860-9135-4349a9c6541c,2018-05-11T05:21:39.203026,2020-06-30T01:38:26.239703,Education.DataReportingAnalytics@sa.gov.au ,Aggregated by school year and region,2013-08-01,2018-08-01,South Australia,Government of South Australia,data.sa.gov.au,Department for Education,"disability, education, government, group, region, schools, students",education-skills-and-learning
Students with a disability enrolments by school type,"Full-time equivalent enrolments of students by Department for Education school type from 2013 collected as part of the annual enrolment data collection in Term 3.

Students with Disability are those students who are verified by a Department of Education psychologist or speech pathologist as eligible for the Department of Education Disability Support Program.
",dataset,English,Creative Commons Attribution,active,Linked,annually,/data/dataset/25333748-1565-4d8b-9990-3995dcfa5686,2018-05-11T04:36:14.255286,2020-06-30T02:01:11.017758,Education.DataReportingAnalytics@sa.gov.au ,Aggregated by school type,2013-08-01,2018-08-01,South Australia,Government of South Australia,data.sa.gov.au,Department for Education,"disability, education, government, schools, students",
Subsoil Acidity (ASRIS),Soils are classified according to the pH of the subsoil layer. Subsoil is defined as the depth range 30-80 cm. Rankings are made according to pH measurements and extrapolation between similar environments. The analysis is based on Soil Landscape Mapping of SA's agricultural districts using soil class information in the nationally-consistent Australian Soil Resource Information System (ASRIS) data format.  Also available for download: [Soil Acidity](http://data.sa.gov.au/data/dataset/acidity) (SA-Format).,dataset,English,Creative Commons Attribution,active,Linked,infrequently,/data/dataset/f8952afc-a326-4b09-8b98-e182b7309c2a,2017-12-04T00:27:50.417390,2020-02-18T22:51:43.215096,datasa@sa.gov.au,,2017-06-15,,Southern South Australia,Government of South Australia,data.sa.gov.au,Department for Environment and Water,"agriculture, ASRIS soil attribute, land use, soils",water-energy-resources-environment-and-science
Subsoil Carbonate,"Fine carbonates in soil reduce nutrient availability to plants, while hard carbonate (e.g. rubble or hard pans) can restrict root growth and soil waterholding capacity. Mapping shows the proportion of land with highly calcareous subsoils within 60 cm of the surface, while detailed proportion data are supplied for calculating respective areas of each subsoil carbonate class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/data/dataset/e23378d8-fc67-46c6-b132-f2256b1fe1b2,2016-06-09T04:03:07.002885,2020-02-18T23:23:01.587880,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,Department for Environment and Water,"agriculture, land use, soil, soil and land attribute data, soil attributes, soil mapping",water-energy-resources-environment-and-science
Structure of Subsoil (degree of limitation),"Structure of subsoil provides an indication of impediments to root, and hence plant, growth due to poorly structured subsoils. Mapping shows the most limiting subsoil structure condition (provided it accounts for at least 30% of a map unit), while detailed proportion data are supplied for calculating respective areas of each structure of subsoil class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/data/dataset/298e5fe4-846d-4449-8707-5a5b615528cd,2016-06-09T04:01:23.521845,2020-02-18T23:20:29.214290,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,Department for Environment and Water,"agriculture, land use, soil, soil and land attribute data, soil attributes, soil mapping",water-energy-resources-environment-and-science
Subsurface Soil Acidity (ASRIS),"Soils are classified according to the pH of the subsurface layer. Subsurface soil refers to the layer immediately below the surface, and typically has a depth range of 10-20 through to 10-30 cm. The analysis is based on Soil Landscape Mapping of SA's agricultural districts using soil class information in the nationally-consistent Australian Soil Resource Information System (ASRIS) data format. ",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/data/dataset/b14f4cef-b075-4134-baf3-8bbeedfdbc2f,2017-12-04T00:19:32.761551,2020-02-18T06:49:07.337642,datasa@sa.gov.au,,2017-06-15,,Southern South Australia,Government of South Australia,data.sa.gov.au,Department for Environment and Water,"agriculture, ASRIS soil attribute, land use, soils",water-energy-resources-environment-and-science
Suburbs,South Australian suburb boundaries in a variety of formats.,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/data/dataset/e4d3a355-29d7-4bdc-a81d-13fd5ed09ef9,2013-03-14T17:32:34.841220,2020-02-23T23:52:29.740353,william.watt@sa.gov.au,,1990-01-01,Current,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","development, housing, infrastructure, location, planning, Suburb",housing-land-planning-and-infrastructure
Summary of Complaints by Subject,Summary of complaints by subject ,dataset,English,Creative Commons Attribution,active,Hosted,annually,/data/dataset/2322b4b0-963f-44df-9cca-943152e38805,2017-09-29T05:06:03.716856,2018-10-22T04:53:20.883892,reception.renewalsa@sa.gov.au,,2012-07-01,2018-06-30,South Australia,Government of South Australia,data.sa.gov.au,Riverbank Authority,government,housing-land-planning-and-infrastructure
Summary of Complaints - SA MET Advisory Council,SA MET Advisory Council Annual Report Data for Summary of complaints,dataset,English,Creative Commons Attribution,active,Linked,annually,/data/dataset/c7c98552-dc6b-4d73-9273-db5ecd6011d3,2017-09-18T07:26:25.450477,2019-12-04T03:35:36.384847,DACRDataRequests@sa.gov.au,,2012-01-01,2017-09-18,South Australia,Government of South Australia,data.sa.gov.au,SA Health,"Advisory, complaints, Council, Health, SA MET",health-and-wellbeing
Summer Under Southern Skies,"Hot days, warm nights, beaches, backyard cricket and Christmas celebrations are all part of summer in the Southern Hemisphere. This dataset contains 53 selected images that portray the essence of summer in South Australia.

Use in conjunction with the Flickr API [https://www.flickr.com/services/api/](https://www.flickr.com/services/api/)
",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/data/dataset/dcd4c4f3-d492-433e-81f1-67be77b97cea,2016-06-29T06:54:44.177674,2020-01-15T06:49:53.914979,peter.jenkins@sa.gov.au,,1894-01-01,1975-12-31,South Australia,Government of South Australia,data.sa.gov.au,State Library of South Australia,"Adelaide, beaches, boats, Christmas, diving, historical data, people, photographs, recreation, South Australia, swimming, water sports","arts-culture-history, transport-travel-and-motoring, sports-and-recreation"
Surface Soil Acidity (ASRIS),"Soils are classified according to the pH of the surface layer, according to the lower pH values recorded among similar soils, i.e. it is assumed that each soil class has a characteristic level of acidity, or is prone to that level of acidity under current climate and typical agricultural land use expected for that soil and locality. Surface soils are classified according to degree of acidity, and surface buffering capacity. This analysis is based on Soil Landscape Mapping of SA's agricultural districts using soil class information in the nationally-consistent Australian Soil Resource Information System (ASRIS) data format. Also available for download: [Soil Acidity](http://data.sa.gov.au/data/dataset/acidity).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/data/dataset/5058b1fb-668b-411b-a442-b4a30cbafcd9,2017-12-03T23:58:15.452969,2020-02-18T22:50:11.469075,datasa@sa.gov.au,,2017-06-15,,Southern South Australia,Government of South Australia,data.sa.gov.au,Department for Environment and Water,"agriculture, ASRIS soil attribute, land use, soils",water-energy-resources-environment-and-science
Soil Surface Carbonate,"Surface carbonate often occurs as finely divided particles which reduce nutrient availability to plants and retard the degradation of some herbicides. Mapping shows the proportion of land with calcareous surface soils, while detailed proportion data are supplied for calculating respective areas of each surface carbonate class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/data/dataset/404ba91a-0ea4-4bab-be03-13eb29bd83a8,2016-06-09T04:04:34.133509,2020-02-18T23:16:33.596775,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,Department for Environment and Water,"agriculture, land use, soil, soil and land attribute data, soil attributes, soil mapping",water-energy-resources-environment-and-science
Physical Condition of Surface Soil,"Physical condition of surface soil mapping highlights areas where plant growth may be impeded due to poor surface soil structure, predominantly due to a condition known as hard setting. Mapping shows the proportion of land with surface soils susceptible to hard setting or sealing, while detailed proportion data are supplied for calculating respective areas of each physical condition of surface soil class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/data/dataset/538c2525-3163-4b4e-bb56-66c34e65c90a,2016-06-09T03:34:09.982221,2020-02-18T06:46:24.978824,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,Department for Environment and Water,"agriculture, land use, soil, soil and land attribute data, soil attributes, soil mapping",water-energy-resources-environment-and-science
Surface Soil Texture,"Surface texture (which refers to approximate clay content) influences many important soil qualities such as waterholding capacity, fertility and erodibility. Mapping shows the most common surface texture within each map unit, while more detailed proportion data are supplied for calculating respective areas of each surface soil texture class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/data/dataset/3ee7c63d-cae6-4076-a394-4db4a158e740,2016-06-09T02:07:28.253727,2020-02-18T06:51:57.339299,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,Department for Environment and Water,"agriculture, land use, soil, soil and land attribute data, soil attributes, soil mapping",water-energy-resources-environment-and-science
Surface Water Basins,Polygon coverage of the state's Surfacewater basins as defined by the Australian Water Resource Council.,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/data/dataset/d51f4828-9b06-499c-9ea3-b5fc638eee75,2013-05-20T05:27:19.567846,2020-02-18T05:08:52.995405,DEWNR.CustomerServiceCentre@sa.gov.au,N/A,1998,,South Australia,Government of South Australia,data.sa.gov.au,Department for Environment and Water,"Drainage, nature, Resources, Surfacewater, Water, Watercourses, Water Management",water-energy-resources-environment-and-science
Surface Water Catchments,"The catchment layer contains boundaries of watersheds where surfacewater drains to a common point into the sea or a major waterbody. Attributes include drainage division, basin (name and number), catchment name and drainage type. Related layers include sub-catchments, reservoir catchments and gauging station catchments.",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/data/dataset/eb5cf41e-7170-488b-8c03-9e04292f1ff7,2013-05-17T08:01:05.789580,2020-02-18T05:05:54.143884,DEWNR.CustomerServiceCentre@sa.gov.au,N/A,May 2014,,South Australia,Government of South Australia,data.sa.gov.au,Department for Environment and Water,"Boundaries, Hydrology, nature, Surface Water Management, Water, Water Resources",water-energy-resources-environment-and-science
Surface Water Subcatchments,"The sub-catchment layer contains boundaries of discrete areas within catchments that each defines the watershed of a major tributary or tributaries. Attributes include the names of basin, catchment and sub-catchment, and sub-catchment area. Related layers include catchments, reservoir catchments and gauging station catchments.",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/data/dataset/4a8f52e9-7247-4a75-8fe6-283fc6210a0b,2013-05-20T05:15:12.558844,2020-02-19T00:40:36.522359,DEWNR.CustomerServiceCentre@sa.gov.au,N/A,May 2014,,South Australia,Government of South Australia,data.sa.gov.au,Department for Environment and Water,"Boundaries, Boundaries Conservation, Boundaries Management, Conservation, nature, Quality, Surface, Water, Water Management, Water Quality Management, Water Surface Management",water-energy-resources-environment-and-science
Survey Marks and Survey Mark Plans (Reference),Survey Marks and their related Survey Plans administered under the Survey Act 1992 to provide a control network for land surveys underpinning the State's cadastre. The Historical GDA94 copies of data from this site contain GDA94 coordinate information and have not been updated since 1 December 2018.,dataset,English,Creative Commons Attribution,active,Linked,weekly,/data/dataset/052a2bad-b3fc-46ae-8468-afdd9a5ac7e7,2015-07-27T22:44:03.415584,2020-02-24T00:01:06.421386,DPTI.SurveyOperations@sa.gov.au,,N/A,2015-07-01,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","Survey Mark Plans, Survey Marks, Survey Reference",business-industry-and-trade
Suspensions and exclusions in SA Government Schools during Term 2,"Count of students and incidents that result in students being suspended, excluded or expelled during Term 2 only from 2012.

*   Suspension from school means that the student does not attend school for a period of time ranging from one to five school days.
*   Exclusion from a school means that the student does not attend that school for either a set period of time ranging from four to ten weeks OR for the remainder of a term, or for students over 16, the remainder of the semester.
*   Expulsion from a single school means that the student who is over the age of compulsion does not attend school for a period of not less than six consecutive months to not more than eighteen consecutive months.
*   Expulsion from all DECD schools means that the student who is over the age of compulsion is permanently expelled from attending all DECD schools.
*   Incidents  Behaviour incidents that resulted in a suspension, exclusion or expulsion.",dataset,English,Creative Commons Attribution,active,Linked,annually,/data/dataset/eff0ec53-5ef3-427f-8de5-e50929b6834f,2018-05-11T03:12:06.949145,2020-07-07T02:09:19.793743,Education.DMA@sa.gov.au ,Term 2 by year,2012-04-01,2019-04-01,South Australia,Government of South Australia,data.sa.gov.au,Department for Education,"behaviour, education, government, incident, schools, students",
Suspensions by age group and gender SA Government Schools during Term 2,"Count of students suspended during Term 2 only by gender and age group from 2012.

Suspension from school means that the student does not attend school for a period of time ranging from one to five school days.",dataset,English,Creative Commons Attribution,active,Linked,annually,/data/dataset/84d9a9d9-30cf-40f3-9e6d-f5a35e3b4ee3,2018-05-11T03:16:58.187637,2020-07-07T02:10:50.966794,Education.DMA@sa.gov.au ,Term 2 data by year,2012-04-01,2019-04-01,South Australia,Government of South Australia,data.sa.gov.au,Department for Education,"behaviour, education, government, incidents, schools, students",
Suspensions exclusions by year level,"Number of suspension, exclusion or expulsion incidents by year level during Term 2 from 2013 onwards.

Suspension from school means that the student does not attend school for a period of time ranging from one to five school days.

Exclusion from a school means that the student does not attend that school for either a set period of time ranging from four to ten weeks OR for the remainder of a term, or for students over 16, the remainder of the semester.

Expulsion from a single school means that the student who is over the age of compulsion does not attend school for a period of not less than six consecutive months to not more than eighteen consecutive months.

Expulsion from all Department for Education schools means that the student who is over the age of compulsion is permanently expelled from attending all Department for Education schools.
",dataset,English,Creative Commons Attribution,active,Linked,annually,/data/dataset/d4139f4a-ef90-435a-b29c-0676ffc6fc54,2019-03-19T04:05:45.957834,2020-06-30T01:35:25.377805,Education.DataReportingAnalytics@sa.gov.au ,Aggregated by year and year level,2013-04-29,2019-08-03,South Australia,Government of South Australia,data.sa.gov.au,Department for Education,"behaviour, education, exclusions, expulsions, government schools, students, suspensions",
TAFE SA  Complaints  Historical Trend,Historical Trend of Complaints at TAFE SA,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/data/dataset/c9954992-1fce-4d8d-9fb4-59b153c2e661,2017-09-28T02:17:51.388562,2019-11-29T05:38:05.578339, Jason.thomas@tafesa.edu.au,,2012-07-01,2018-06-30,South Australia,Government of South Australia,data.sa.gov.au,TAFE SA,TAFE SA Complaints Historical Trend,
TAFE SA  Consultants  Historical Trend,Historical Trend of Consultants Engaged at TAFE SA,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/data/dataset/ed6b4fd5-0e69-4d04-b4de-f3cdf6034df4,2017-09-28T02:25:39.098221,2019-11-29T05:36:01.229112, Jason.thomas@tafesa.edu.au,,2012-07-01,2018-06-30,South Australia,Government of South Australia,data.sa.gov.au,TAFE SA,TAFE SA Consultants Historical Trend,education-skills-and-learning
TAFE SA - Contractors - Historical Trend,Historical Trend of Contractors at TAFE SA,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/data/dataset/c33cd1b2-5c36-425f-82bc-a3547d8a95c7,2019-10-10T05:45:12.768169,2019-11-29T05:40:45.497819, Jason.thomas@tafesa.edu.au,,2017-07-01,2018-06-30,South Australia,Government of South Australia,data.sa.gov.au,TAFE SA,,
TAFE SA  Executive Employment  Historical Trend,Historical Trend of Executives Employed at TAFE SA,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/data/dataset/7b6be581-9dfe-4694-bf59-5534c0bd2127,2017-09-28T04:47:45.102992,2019-11-29T05:33:21.086344, Jason.thomas@tafesa.edu.au,,2012-07-01,2018-06-30,South Australia,Government of South Australia,data.sa.gov.au,TAFE SA,TAFE SA Executive Employment Historical Trend,education-skills-and-learning
TAFE SA  Fraud  Historical Trend,Historical Trend of Fraud Incidents at TAFE SA,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/data/dataset/adbabace-e1f4-40f1-a1c4-e4bf107b9bc3,2017-09-28T04:50:26.144513,2019-11-29T05:31:31.051073, Jason.thomas@tafesa.edu.au,,2012-07-01,2018-06-30,South Australia,Government of South Australia,data.sa.gov.au,TAFE SA,TAFE SA Fraud Historical Trend,education-skills-and-learning
TAFE SA Qualifications  Semester 2 2015,"List of Qualifications that TAFE SA offers as of 20th May 2015, Semester 2 2015.",dataset,English,Creative Commons Attribution,active,Hosted,asRequired,/data/dataset/59485629-f898-47bc-a379-e8d134d027c6,2015-05-27T23:12:53.355468,2015-05-27T23:13:46.002968, Jason.thomas@tafesa.edu.au,,2015-05-20,2015-05-20,South Australia,Government of South Australia,data.sa.gov.au,TAFE SA,TAFE SA Qualifications,education-skills-and-learning
TAFE SA Qualifications  Semester 2 2016,"List of Qualifications that TAFE SA offers as of June 2016, Semester 2 2016.",dataset,English,Creative Commons Attribution,active,Hosted,asRequired,/data/dataset/a9560bec-3c05-4138-bd56-bce3e7a18b5a,2016-06-30T00:21:19.881369,2016-06-30T00:21:52.492206, Jason.thomas@tafesa.edu.au,,2016-06-01,2016-06-30,South Australia,Government of South Australia,data.sa.gov.au,TAFE SA,TAFE SA Qualifications,education-skills-and-learning
TAFE SA Qualifications  Semester 2 2017,"List of Qualifications that TAFE SA offers as of June 2017, Semester 2 2017.",dataset,English,Creative Commons Attribution,active,Hosted,never,/data/dataset/aa380e3e-78b7-4ed4-b025-77e31df3cd26,2017-06-22T05:28:31.293748,2017-06-22T05:29:06.978605, Jason.thomas@tafesa.edu.au,,2017-06-16,2017-06-16,South Australia,Government of South Australia,data.sa.gov.au,TAFE SA,TAFE SA Qualifications,education-skills-and-learning
TAFE SA Short Courses 2015,"List of Short Courses that TAFE SA offers as of 20th May 2015, Semester 2 2015",dataset,English,Creative Commons Attribution,active,Hosted,asRequired,/data/dataset/cd90686b-c6fa-4500-9b45-dfffacd50a81,2015-05-27T23:17:12.564034,2015-05-27T23:17:44.089013, Jason.thomas@tafesa.edu.au,,2015-05-20,2015-05-20,South Australia,Government of South Australia,data.sa.gov.au,TAFE SA,TAFE SA Qualifications,education-skills-and-learning
TAFE SA Short Courses 2016,"List of Short Courses that TAFE SA offers as of June 2016, Semester 2 2016.",dataset,English,Creative Commons Attribution,active,Hosted,asRequired,/data/dataset/fd263eb1-0230-48ff-a3c4-2e4e07581955,2016-06-30T00:24:37.881905,2016-06-30T00:25:04.746096, Jason.thomas@tafesa.edu.au,,2016-06-01,2016-06-30,South Australia,Government of South Australia,data.sa.gov.au,TAFE SA,TAFE SA Short Courses,education-skills-and-learning
TAFE SA Short Courses 2017,"List of Short Courses that TAFE SA offers as of June 2017, Semester 2 2017.",dataset,English,Creative Commons Attribution,active,Hosted,never,/data/dataset/ece0d3b5-cfa8-4a3c-af6a-97df1a6b7a3e,2017-06-22T05:31:02.687720,2017-06-22T05:32:06.583773, Jason.thomas@tafesa.edu.au,,2017-06-16,2017-06-16,South Australia,Government of South Australia,data.sa.gov.au,TAFE SA,TAFE SA Short Courses,education-skills-and-learning
TAFE SA  Whistleblowers  Historical Trend,Historical Trend of Whistleblower Matters at TAFE SA,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/data/dataset/61121c1b-c902-4b23-94c6-1b538a889c43,2017-09-28T05:00:18.913768,2019-11-29T05:30:10.537253, Jason.thomas@tafesa.edu.au,,2012-07-01,2018-06-30,South Australia,Government of South Australia,data.sa.gov.au,TAFE SA,TAFE SA Whistleblower Historical Trend,education-skills-and-learning
TAFE SA - WHS - Historical Trend,Historical Trend of WHS Matters at TAFE SA,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/data/dataset/cb5d9179-0e69-4b09-9515-dc16c3e67dfd,2018-09-19T04:26:25.411920,2019-11-29T05:28:17.370032, Jason.thomas@tafesa.edu.au,,2012-07-01,2018-06-30,South Australia,Government of South Australia,data.sa.gov.au,TAFE SA,TAFE SA WHS Historical Trend,
Tandanya Annual Reporting Regulatory Data,Tandanya Annual Reporting Regulatory Data,dataset,English,Creative Commons Attribution,active,Hosted,asRequired,/data/dataset/d70aead0-f61b-4279-b677-685d564b7fd1,2018-01-10T05:35:04.407508,2018-01-10T06:16:14.571169,web@tandanya.com.au,,2011-07-01,2017-06-30,South Australia,Government of South Australia,data.sa.gov.au,Tandanya National Aboriginal Cultural Institute,"Aboriginal, Art Gallery, Cultural, Indigenous, Tourism, Visual Arts",
The Chief Public Health Officer's Report,"A link to The Chief Public Health Officers Report - Protect, Prevent, Improve, Inform - describes the state of public health for South Australia. This includes the prevention and control of communicable disease and non-communicable disease, environmental health and health risk factors to population health and wellbeing.",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/data/dataset/f5003db2-b0b7-4d2d-904d-e96cd13bb103,2017-07-11T00:34:31.829654,2018-12-10T23:32:33.299171,HealthDACRDataDrop@sa.gov.au,Varies,2014-01-01,2018-01-01,South Australia,Government of South Australia,data.sa.gov.au,SA Health,Public Health,health-and-wellbeing
Thriving Communities Indicator Dataset,"Indicators describing the levels of different aspects of wellbeing within the South Australian population:

Children

-Children aged less than 15 years living in jobless families, 2011

-Children developmentally vulnerable in one or more domains, 2012

-Early school leavers who left school at Year 10 or below, or did not go to school, 2011

Unemployment

-Unemployment benefits recipients, June 2014

-Young people aged 16 to 24 years receiving an unemployment benefit, June 2014

-Young people aged 15 to 24 years engaged in learning or earning, 2011
Health

-Prevalence of high or very high psychological distress, 2011-13

-Smoking: persons, 2011-13

-Obesity: adults, 2011-13

Overview here: http://dcsi.maps.arcgis.com/apps/MapJournal/index.html?appid=1b84d1ccea924d58ad8247d9f7e8395a",dataset,English,Creative Commons Attribution,active,Linked,annually,/data/dataset/86ce7a4b-7416-4ec0-a64c-2201dc732b2d,2016-07-07T03:46:53.408927,2020-02-19T00:19:51.750105,DLDCSIPolicyandCommunityDevelopment@dcsi.sa.gov.au,Spatial: by local government area / Temporal: single interval for each indicator,2009-01-01,2014-01-01,South Australia,Government of South Australia,data.sa.gov.au,Department of Human Services,"Children, Demographics, Health, Thriving, Unemployment, Wellbeing",government-reporting-and-policy
"Tidal variance at Tauwitchere Barrage, Coorong",Time series of tidal levels at the Tauwitchere Barrage recorded hourly intervals sourced from a telemetered data logger site.,dataset,,Creative Commons Attribution,active,Hosted,Hourly on the website,/data/dataset/9afa8373-7fd1-4ad9-86a2-b680476df232,2014-06-16T06:49:33.943968,2016-06-15T23:59:20.468978,DataSA@sa.gov.au,Hourly tidal observations,365 days to current date,N/A,"Tauwitchere Barrage, Coorong, South Australia",Government of South Australia,data.sa.gov.au,Department for Environment and Water,"Coorong, Tauwitchere Barrage, telemetry, tidal levels, time-series",water-energy-resources-environment-and-science
Top 40 arterial road sections for heavy vehicles,This ranking lists the 40 busiest arterial sections of road in terms of heavy vehicles,dataset,English,Creative Commons Attribution,active,Linked,annually,/data/dataset/b69840de-ef15-401f-85c3-2f35a09326e7,2017-06-28T23:20:35.600181,2018-11-02T01:26:03.580971,Andrew.Krause@sa.gov.au,,2017-01-01,2017-01-01,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","heavy vehicles, roads, road traffic, sections",transport-travel-and-motoring
Top 40 arterial road intersections for heavy vehicles,This ranking lists the 40 busiest at grade arterial road intersections in terms of heavy vehicle exposure,dataset,English,Creative Commons Attribution,active,Hosted,annually,/data/dataset/4c03f866-380d-4199-8966-68e789744a61,2017-06-28T23:41:47.256185,2020-03-13T04:30:59.975123,Andrew.Krause@sa.gov.au,,2017-01-01,2017-01-01,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","heavy vehicles, intersection, roads, road traffic",transport-travel-and-motoring
Traffic volumes on top 40 road sections in SA,A ranking of the top 40 road sections based on the average daily two way traffic count.,dataset,English,Creative Commons Attribution,active,Linked,annually,/data/dataset/6d9f9ab2-85eb-49ee-8124-d4bd9c1764e9,2017-05-02T06:55:00.752788,2020-03-12T00:57:37.743345,andrew.krause@sa.gov.au,Road section count,2017-01-01,2017-01-01,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","motor vehicle, road, traffic",transport-travel-and-motoring
Torrens Lake Aerator,Provides geographic location and attribute data for the Torrens Lake Aerator within the Adelaide City Council area,dataset,English,Creative Commons Attribution,active,Linked,annually,/data/dataset/2f030185-1522-4bcb-8a18-da17bbc648a4,2016-07-01T01:57:22.727311,2016-07-08T07:08:27.003347,DataSA@sa.gov.au ,,,,Adelaide & North Adelaide,Local Government,data.sa.gov.au,City of Adelaide,"Lake Aerator, Torrens Lake",water-energy-resources-environment-and-science
Torrens Lake Meterological Data,"ACC have 3 monitoring stations in the Torrens Lake located at the Weir, beneath the Adelaide University footbridge and beneath the Adelaide Zoo footbridge.
Information recorded includes water temperature at various depths, oxygen levels, oxygen reduction potential, electrical conductivity, pH levels, rainfall, wind speed and direction, humidity, air pressure, solar radiation and air temperature.  Refer to the TXT file within the CSV zip file for more information about the fields.

Data is captured at 15 minute intervals and updated on a daily basis.",dataset,English,Creative Commons Attribution,active,Linked,daily,/data/dataset/62a683f6-b38b-48da-87c9-63ac9cde0384,2015-06-16T00:48:48.901051,2016-06-10T05:23:53.900990,city@adelaidecitycouncil.com,"15 minute intervals, updated daily",2014-10-01,,Torrens Lake within Adelaide City,Local Government,data.sa.gov.au,City of Adelaide,"adelaide, meteorlogical, torrens lake, water quality",water-energy-resources-environment-and-science
Torrens Lake Water Quality,This dataset contains a variety of water quality measurements from various locations in the Torrens Lake between the Hackney Road bridge and the Torrens Weir.  In particular it captures blue green algae levels and nutrient levels in the lake and supports the management of blue green algae over the summer months. ,dataset,English,Creative Commons Attribution,active,Linked,other,/data/dataset/73b42e49-41f8-4994-925e-1745c04ccf6a,2015-06-16T01:10:49.950062,2017-02-10T04:54:21.009324,city@adelaidecitycouncil.com,varies depending on sampling undertaken,2009-01-15,,Torrens Lake Adelaide,Local Government,data.sa.gov.au,City of Adelaide,"adelaide, blue green algae, torrens lake, water quality",water-energy-resources-environment-and-science
Tourism Visitor Statistics,"Summary time series data of the International Visitor Survey, the National Visitor Survey and the State Tourism Satellite Account, as published by Tourism Research Australia (TRA). These data sources estimate total visitor expenditure in South Australia, direct tourism jobs and regional tourism expenditure. Breakdowns of visitor origin are also provided, with time series of visitors from the UK, Germany, USA, China and New Zealand, as well as domestic visitors in South Australia.

For further details on these datasets please visit the TRA website:
https://www.tra.gov.au/research
",dataset,English,Creative Commons Attribution,active,Hosted,quarterly,/data/dataset/00824055-585f-488e-a7df-4ea9fd678496,2017-07-10T00:48:00.776059,2017-07-10T00:58:45.034292,datasa@sa.gov.au,,2007-06-01,2017-03-31,South Australia,Government of South Australia,data.sa.gov.au,SA Tourism Commission,"domestic visitors, international, regional visitors, satc, tourism, tourists, visitors","arts-culture-history, business-industry-and-trade, transport-travel-and-motoring"
